ID;year;constructorId;name;points;wins;target;avg_driver_points;avg_grid_position;avg_final_position;dnf_count;total_driver_points
98;1964;96;Derrington;0.0;0;0;0.0;19.0;16.0;1;0.0
99;1964;170;Cooper-Climax;16.0;0;0;0.6956521739130435;10.521739130434783;11.565217391304348;16;80.0
100;1964;172;Lotus-Climax;37.0;3;0;1.8846153846153846;6.615384615384615;8.307692307692308;17;310.0
101;1964;176;Lotus-BRM;3.0;0;0;0.12;12.28;14.24;20;23.0
102;1964;181;Brabham-BRM;7.0;0;0;0.4117647058823529;12.352941176470589;13.588235294117647;12;29.0
103;1964;182;Brabham-Ford;0.0;0;0;0.0;19.0;23.0;1;0.0
104;1964;183;Brabham-Climax;30.0;2;0;1.0909090909090908;7.212121212121212;10.121212121212121;19;186.0
105;1965;6;Ferrari;26.0;0;0;1.391304347826087;7.086956521739131;8.782608695652174;13;182.0
106;1965;11;Honda;11.0;1;0;0.9285714285714286;9.071428571428571;12.0;11;22.0
107;1965;51;Alfa Romeo;0.0;0;0;0.0;17.0;10.0;0;0.0
108;1965;66;BRM;45.0;3;0;2.892857142857143;8.035714285714286;8.035714285714286;12;444.0
109;1965;93;RE;0.0;0;0;0.0;0.0;29.0;1;0.0
110;1965;167;Cooper-Maserati;0.0;0;0;0.0;0.0;30.0;1;0.0
111;1965;170;Cooper-Climax;14.0;0;0;0.6086956521739131;10.26086956521739;12.434782608695652;17;90.0
112;1965;172;Lotus-Climax;54.0;6;1;2.2857142857142856;6.25;10.535714285714286;18;400.0
113;1965;176;Lotus-BRM;2.0;0;0;0.1;13.95;12.55;13;4.0
114;1965;180;Lotus-Ford;0.0;0;0;0.0;0.0;26.0;2;0.0
115;1965;181;Brabham-BRM;5.0;0;0;0.2777777777777778;13.333333333333334;11.166666666666666;8;19.0
116;1965;182;Brabham-Ford;0.0;0;0;0.0;17.5;11.5;0;0.0
117;1965;183;Brabham-Climax;27.0;0;0;1.0;9.461538461538462;10.538461538461538;23;122.0
118;1965;184;LDS-Climax;0.0;0;0;0.0;0.0;23.0;1;0.0
119;1965;185;LDS-Alfa Romeo;0.0;0;0;0.0;10.0;20.0;1;0.0
120;1965;186;Cooper-Ford;0.0;0;0;0.0;0.0;21.5;2;0.0
121;1966;6;Ferrari;31.0;2;0;2.625;4.6875;7.875;9;121.0
122;1966;11;Honda;3.0;0;0;0.6;9.8;9.0;4;9.0
123;1966;66;BRM;22.0;1;0;1.36;8.72;10.12;18;212.0
124;1966;91;Shannon;0.0;0;0;0.0;18.0;20.0;1;0.0
125;1966;167;Cooper-Maserati;30.0;1;0;1.225;9.15;9.2;28;227.0
126;1966;172;Lotus-Climax;8.0;0;0;1.0;9.0;7.75;5;18.0
127;1966;176;Lotus-BRM;13.0;1;0;0.65;10.6;11.2;17;52.0
128;1966;181;Brabham-BRM;1.0;0;0;0.16666666666666666;14.333333333333334;12.0;3;4.0
129;1966;183;Brabham-Climax;1.0;0;0;0.09090909090909091;12.363636363636363;11.909090909090908;8;1.0
130;1966;187;McLaren-Ford;2.0;0;0;0.6666666666666666;11.666666666666666;10.0;2;6.0
131;1966;188;McLaren-Serenissima;1.0;0;0;0.5;6.5;11.0;1;1.0
132;1966;189;Eagle-Climax;4.0;0;0;0.5;8.625;12.25;7;15.0
133;1966;190;Eagle-Weslake;0.0;0;0;0.0;17.0;16.666666666666668;3;7.0
134;1966;191;Brabham-Repco;42.0;4;1;3.9375;5.5;6.5;7;305.0
135;1966;192;Cooper-Ferrari;0.0;0;0;0.0;22.5;11.0;1;0.0
136;1967;6;Ferrari;20.0;0;0;1.4375;7.6875;6.875;8;153.0
137;1967;11;Honda;20.0;1;0;2.2222222222222223;7.222222222222222;7.0;6;83.0
138;1967;26;Lola;0.0;0;0;0.0;18.0;13.5;1;0.0
139;1967;66;BRM;17.0;0;0;0.6176470588235294;10.882352941176471;11.470588235294118;25;132.0
140;1967;82;Matra;0.0;0;0;0.0;12.5;17.5;4;0.0
141;1967;90;Protos;0.0;0;0;0.0;24.0;17.5;1;0.0
142;1967;167;Cooper-Maserati;28.0;1;0;0.7380952380952381;11.880952380952381;10.214285714285714;24;162.0
143;1967;170;Cooper-Climax;6.0;0;0;3.0;2.5;10.0;1;6.0
144;1967;172;Lotus-Climax;0.0;0;0;0.0;5.0;9.0;1;0.0
145;1967;176;Lotus-BRM;6.0;0;0;0.75;11.625;12.375;6;6.0
146;1967;180;Lotus-Ford;44.0;4;0;2.272727272727273;5.181818181818182;9.272727272727273;14;260.0
147;1967;182;Brabham-Ford;0.0;0;0;0.0;20.0;7.0;0;0.0
